"transaction_amount","aux_mdr_fee","mdr_fee","gateway_fee","transaction_id","payment_method","installments_range","financial_operation_type","created_at","date","day_of_week","company_id","company_mcc","company_type","product_name","acquirer_name"
10001,144,144,80.0,e3316044c2,credit_card,"2-6",capture,16:00:02,2020-09-09,3.0,d85805aec65c1b7,"5943",outbound,psp,acquirer_3
16329,201,201,110.0,e336cfa9c4,credit_card,"2-6",capture,14:58:46,2020-09-09,3.0,"3e650645c57b92e","7311",inbound,psp,pagarme
16329,201,201,110.0,e336cfa9c4,credit_card,"2-6",capture,14:58:46,2020-09-09,3.0,"3e650645c57b92e","7311",inbound,psp,acquirer_3
9900,312,312,105.0,e3cbc76f3e,credit_card,a vista,capture,14:58:22,2020-09-09,3.0,"0c2ee5dc79034a2",,inbound,psp,pagarme
9900,312,312,105.0,e3cbc76f3e,credit_card,a vista,capture,14:58:24,2020-09-09,3.0,"0c2ee5dc79034a2",,inbound,psp,acquirer_3
1500,-57,0,70.0,e4104c2877,credit_card,a vista,capture,14:51:45,2020-09-09,3.0,"79f540698e2d78a","5651",outbound,psp,pagarme
1500,-57,0,70.0,e4104c2877,credit_card,a vista,capture,14:51:46,2020-09-09,3.0,"79f540698e2d78a","5651",outbound,psp,acquirer_3
1500,0,0,-70.0,e4104c2877,credit_card,a vista,refund,15:00:02,2020-09-09,3.0,"79f540698e2d78a","5651",outbound,psp,acquirer_3
1500,0,0,-70.0,e4104c2877,credit_card,a vista,refund,15:00:02,2020-09-09,3.0,"79f540698e2d78a","5651",outbound,psp,pagarme
5000,90,90,0.0,e410993291,credit_card,a vista,capture,14:56:32,2020-09-09,3.0,c073c11c93a896b,"8398",outbound,psp,pagarme
5000,90,90,0.0,e410993291,credit_card,a vista,capture,14:56:33,2020-09-09,3.0,c073c11c93a896b,"8398",outbound,psp,acquirer_3
419640,0,0,-0.0,e54ff0ab72,credit_card,"7-12",refund,09:25:09,2020-09-23,3.0,d19e7f6bea6d0f3,"8299",outbound,psp,acquirer_3
